Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-December-2022,582.00,586.55,574.55,577.25,579.471534261381636570,53661,3079,31095022.00,18049,33.64,12.00,-4.75
20-December-2022,576.30,582.20,569.40,579.85,571.420147088635055329,19692344,31493,11252602105.00,17732856,90.05,12.80,3.55
19-December-2022,576.20,589.75,574.45,588.75,583.462014948295280024,39068,2434,22794694.00,17763,45.47,15.30,12.55
16-December-2022,582.55,587.95,579.00,579.80,583.909757834757834757,14040,1111,8198093.00,3941,28.07,8.95,-2.75
15-December-2022,585.50,589.90,583.25,586.65,585.894361735825150459,12628,892,7398674.00,4123,32.65,6.65,1.15
14-December-2022,595.05,597.85,585.45,587.00,588.784482974932878327,39853,2763,23464828.00,16481,41.35,12.40,-8.05
13-December-2022,600.10,603.90,593.40,594.30,595.850609113518526324,23723,933,14135364.00,7589,31.99,10.50,-5.80
12-December-2022,602.35,603.70,590.55,602.35,598.620471675176270362,53469,2955,32007638.00,23027,43.07,13.15,0.00
9-December-2022,605.50,609.30,594.45,599.10,601.298756945098408513,21238,1100,12770383.00,8169,38.46,14.85,-6.40
8-December-2022,602.30,607.00,599.30,604.05,603.821915260990835436,37645,1169,22730876.00,12964,34.44,7.70,1.75
7-December-2022,597.00,610.40,597.00,602.05,603.432523187526811733,135202,3829,81585284.00,43791,32.39,13.40,5.05
6-December-2022,584.45,593.70,583.20,592.20,589.960242695193996487,18789,1063,11084763.00,5728,30.49,10.50,7.75
5-December-2022,589.05,592.00,583.00,586.95,585.710013611523068484,49223,3386,28830404.00,18345,37.27,9.00,-2.10
2-December-2022,582.95,593.00,576.60,591.30,584.523754653430242864,33846,1779,19783791.00,7316,21.62,16.40,8.35
1-December-2022,586.55,591.55,586.00,586.70,588.082778912236787212,45543,2776,26783054.00,26586,58.38,5.55,0.15
30-November-2022,594.00,598.60,585.70,589.15,592.280712495139446186,120871,5722,71589562.00,70250,58.12,12.90,-4.85
29-November-2022,560.00,598.20,557.75,593.20,587.338451858129799419,389370,14139,228691973.00,204089,52.42,40.45,33.20
28-November-2022,555.05,563.00,555.05,558.70,560.077258346423593442,45199,2427,25314932.00,29498,65.26,7.95,3.65
25-November-2022,551.15,557.00,547.90,556.90,553.607830031033659584,20945,1240,11595316.00,9089,43.39,9.10,5.75
24-November-2022,556.70,557.00,550.55,553.15,554.172849740932642487,19300,1126,10695536.00,5191,26.90,6.45,-3.55
